train_mae,valid_mae,train_rmse,valid_rmse,n_estimators,max_depth,min_samples,max_features,warm_start
1.2986430377664742,1.9892538958717827,2.256808117016745,3.6648686966603004,10,15,2,2,True
1.2986430377664742,1.9892538958717827,2.256808117016745,3.6648686966603004,10,15,2,2,False
1.1091401537701286,1.9066671325804967,1.900739298999966,3.6291313748399427,10,15,2,4,True
1.1091401537701286,1.9066671325804967,1.900739298999966,3.6291313748399427,10,15,2,4,False
1.0445446311168514,1.929068161327601,1.7923475077080888,3.771614370537196,10,15,2,6,True
1.0445446311168514,1.929068161327601,1.7923475077080888,3.771614370537196,10,15,2,6,False
1.0444540211368005,1.926061399263385,1.7886551132950335,3.7621129089240193,10,15,2,8,True
1.0444540211368005,1.926061399263385,1.7886551132950335,3.7621129089240193,10,15,2,8,False
1.0351633372192188,1.9253501120351393,1.7738837270744623,3.765926933867008,10,15,2,10,True
1.0351633372192188,1.9253501120351393,1.7738837270744623,3.765926933867008,10,15,2,10,False
1.4091935052465527,2.0216028626635154,2.4309802135889913,3.7095269000143145,10,15,5,2,True
1.4091935052465527,2.0216028626635154,2.4309802135889913,3.7095269000143145,10,15,5,2,False
1.1822099848312178,1.9090639176625819,2.067427770332804,3.6993002470958185,10,15,5,4,True
1.1822099848312178,1.9090639176625819,2.067427770332804,3.6993002470958185,10,15,5,4,False
1.1241132296717562,1.89417186652988,1.9745977154078966,3.718908017716502,10,15,5,6,True
1.1241132296717562,1.89417186652988,1.9745977154078966,3.718908017716502,10,15,5,6,False
1.0868871373398612,1.9185011938260397,1.9165051633093173,3.726591212886183,10,15,5,8,True
1.0868871373398612,1.9185011938260397,1.9165051633093173,3.726591212886183,10,15,5,8,False
1.1139582697806139,1.9348984369798914,1.9668083145701951,3.7878762805883954,10,15,5,10,True
1.1139582697806139,1.9348984369798914,1.9668083145701951,3.7878762805883954,10,15,5,10,False
1.5089056785888568,2.0255912845369064,2.6364190642403766,3.763887695417826,10,15,10,2,True
1.5089056785888568,2.0255912845369064,2.6364190642403766,3.763887695417826,10,15,10,2,False
1.3121457163529955,1.9475031107576264,2.3164999058743785,3.717463057911385,10,15,10,4,True
1.3121457163529955,1.9475031107576264,2.3164999058743785,3.717463057911385,10,15,10,4,False
1.2506899268402982,1.884481858315425,2.2109641514903204,3.706433502868726,10,15,10,6,True
1.2506899268402982,1.884481858315425,2.2109641514903204,3.706433502868726,10,15,10,6,False
1.2140105396026217,1.9105492051123554,2.146616857242875,3.71092305948624,10,15,10,8,True
1.2140105396026217,1.9105492051123554,2.146616857242875,3.71092305948624,10,15,10,8,False
1.2139260000111929,1.932504202949245,2.163075908540588,3.7674360599215446,10,15,10,10,True
1.2139260000111929,1.932504202949245,2.163075908540588,3.7674360599215446,10,15,10,10,False
1.646911276523605,2.0484440762325247,2.8400206830884014,3.780485594624833,10,15,20,2,True
1.646911276523605,2.0484440762325247,2.8400206830884014,3.780485594624833,10,15,20,2,False
1.474209104127798,1.9706495535413429,2.58227695726324,3.7362002028723533,10,15,20,4,True
1.474209104127798,1.9706495535413429,2.58227695726324,3.7362002028723533,10,15,20,4,False
